,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0099177,BP,GO:0099177,regulation of trans-synaptic signaling,98/797,349/8436,1.62262776745874e-24,7.65290259779633e-22,5.37097554798066e-22,Epha4/Cacnb4/Syn1/Nptx1/Ncdn/Ptk2/Cplx2/Dlgap1/Glul/Ppp1r9a/Plcb1/Mctp1/Ncam1/Mgll/Fyn/Snap25/Dlg4/Kif5b/Slc1a1/Prkca/Kalrn/Syt1/Stxbp1/Prkce/Ntrk2/Atp2b2/Gria1/Pfn2/Gria2/Unc13c/Tacr1/Slc6a1/Myo5a/Egr1/Kcnb1/Mpp2/Car2/Tubb2b/Kcnj10/Atp2a2/Slc24a2/Calb2/Cspg5/Serpine2/Grin2c/Rapgef2/Shisa9/Nptn/Shisa6/Slc1a3/Prkcb/Apoe/Reln/S100b/Rab3a/Sipa1l1/Dbi/Pak1/Camk2b/Vamp2/Lgmn/Gnai2/Calm1/Mapk1/Mef2c/Cplx1/Grm5/Ppp3r1/Syt7/Grm1/Grin1/Baiap2/Ppp3ca/Cacng3/Camk2a/Arc/Nrgn/Ptprd/Rasgrf2/Gnai1/Pcdh8/Agt/Fam107a/Slc7a11/Ptn/Neto1/Ptk2b/Synpo/Nrxn3/Zdhhc2/Cacnb3/Lrp8/Sphk1/Akap12/Fcgr2b/Itpr3/Grin3a/Calb1,98
GO:0098794,CC,GO:0098794,postsynapse,109/797,447/8436,8.72448141209852e-22,3.77188413049726e-19,2.64719133372358e-19,Epha4/Camk2n1/Slc1a2/Fxyd6/Marcks/Syn1/Ptprz1/C1qa/Ncdn/Dlg3/Arrb1/Ptk2/Caly/Dlgap1/Abl2/Ppp1r9a/Psd/Dst/Wasf1/Fyn/Lin7a/Snap25/Dlg4/Slc1a1/Cdk5r1/Kalrn/Stxbp1/Ntrk2/Atp2b2/Gria1/Pfn2/Gria2/Nsf/Map2/Atp1a1/Mapk10/Map1b/Myo5a/Camk2g/Kcnb1/Atp2b1/Mpp2/Snap91/Faim2/Arhgef2/Cspg5/Slc8a1/Grin2c/Shisa9/Nptn/Shisa6/Slc1a3/Ppp1cc/Kcnj4/Gabra1/Atp1a2/Zfp804a/Sez6/Gabrb3/Sipa1l1/Pak1/Camk2b/Pip5k1c/Rplp0/Dlg2/Ank3/Cplx1/Syn2/Rtn4/Grm5/Gria3/Kcnd2/Lrp4/Grm1/Iqsec3/Grin1/Baiap2/Ppp3ca/Cacng3/Arhgap44/Dclk1/Camk2a/Bcl11a/Ptpro/Arc/Nrgn/Cnn3/Dynll2/Canx/Pcdh8/Kctd12/Add2/Whrn/Chrm1/Cryab/Sorbs2/C1qc/Neto1/Gabra5/Ptk2b/Hpca/Synpo/Kcna4/Zdhhc2/Htr3a/Fcgr2b/Lpar1/Grin3a/Calb1,109
GO:0030001,BP,GO:0030001,metal ion transport,103/797,427/8436,3.19535771967754e-20,1.27519352689901e-17,8.94958894928309e-18,Slc6a9/Slc17a6/Fkbp1a/Fxyd6/Cacnb4/Cx3cl1/Gja1/Ahnak/Tmem163/Kcnh3/Plcb1/Kcna2/Fyn/Cav1/Fth1/Kif5b/Scn1b/Slc1a1/Slc9a3r1/Cdkn1b/Fgf13/Prkce/Kcnmb4/Fxyd1/Atp2b2/Ywhah/Plp1/Nsf/Atp1a1/Usp2/Slc38a3/Stk39/Slc6a1/Myo5a/Camk2g/Kcnb1/Slc20a1/Atp2b1/Hspa2/Kcnj10/Atp2a2/Slc24a2/Tmbim6/Slc8a1/Serpine2/Grin2c/Slc1a3/B2m/Prkcb/Slc6a7/Kcnj4/Slc22a17/Slc6a11/Atp1a2/Scn3a/Dbi/Calm2/Gnb5/Cd63/Camk2b/Vamp2/Gnai2/Calm1/Ank3/Slc17a7/Tspan13/Cacna1g/Slc4a4/S100a1/Kcnd2/Atp1b1/Tcn2/Atp1b2/Grin1/Ppp3ca/Cacng3/Camk2a/Agt/Dpp6/Wnk4/Nppa/Bin1/Igf1/Slc13a3/Kcnj16/Slc6a13/Neto1/Ptk2b/Hpca/Kcnip1/Kcna4/Cacnb3/Dpp10/Atp2b4/Amigo1/Kcnb2/Tpcn1/Aqp1/Itpr3/Hes1/Stom/Gal/Grin3a,103
GO:0048167,BP,GO:0048167,regulation of synaptic plasticity,57/797,164/8436,2.32264118430835e-19,8.6070446172798e-17,6.04061342595683e-17,Epha4/Syn1/Ncdn/Cplx2/Ppp1r9a/Mgll/Snap25/Dlg4/Slc1a1/Kalrn/Stxbp1/Ntrk2/Atp2b2/Gria1/Unc13c/Egr1/Kcnb1/Mpp2/Kcnj10/Slc24a2/Calb2/Serpine2/Grin2c/Rapgef2/Shisa9/Nptn/Shisa6/Apoe/Reln/S100b/Rab3a/Sipa1l1/Dbi/Pak1/Camk2b/Vamp2/Lgmn/Mapk1/Mef2c/Grm5/Syt7/Grin1/Baiap2/Camk2a/Arc/Nrgn/Rasgrf2/Agt/Fam107a/Ptn/Neto1/Ptk2b/Synpo/Zdhhc2/Fcgr2b/Itpr3/Calb1,57
GO:0034765,BP,GO:0034765,regulation of ion transmembrane transport,73/797,260/8436,2.05877563764997e-18,7.12061867208538e-16,4.99740696886404e-16,Slc6a9/Fkbp1a/Fxyd6/Cacnb4/Cx3cl1/Gja1/Ahnak/Kcnh3/Plcb1/Kcna2/Fyn/Cav1/Dlg4/Kif5b/Scn1b/Slc9a3r1/Prkca/Fgf13/Prkce/Fxyd1/Ywhah/Plp1/Stk39/Myo5a/Kcnb1/Hspa2/Kcnj10/Slc8a1/Shisa9/Shisa6/Kcnj4/Reln/Atp1a2/Scn3a/Dbi/Calm2/Gnb5/Cd63/Vamp2/Calm1/Ank3/Tspan13/Mef2c/S100a1/Grm5/Kcnd2/Atp1b1/Atp1b2/Arl6ip1/Cacng3/Arc/Rasgrf2/Agt/Dpp6/Wnk4/Rgs2/Nppa/Bin1/Kcnj16/Neto1/Ptk2b/Hpca/Kcnip1/Kcna4/Cacnb3/Dpp10/Atp2b4/Amigo1/Kcnb2/Tpcn1/Htr3a/Stom/Gal,73
GO:0034762,BP,GO:0034762,regulation of transmembrane transport,81/797,312/8436,4.60319490127067e-18,1.49258594673702e-15,1.0475296818089e-15,Slc6a9/Fkbp1a/Slc1a2/Fxyd6/Cacnb4/Cx3cl1/Gja1/Ahnak/Kcnh3/Rhoq/Plcb1/Kcna2/Fyn/Cav1/Dlg4/Kif5b/Scn1b/Slc9a3r1/Prkca/Fgf13/Prkce/Fxyd1/Rasa1/Ywhah/Plp1/Stk39/Myo5a/Kcnb1/Hspa2/Car2/Kcnj10/Slc8a1/Shisa9/Shisa6/Prkcb/Kcnj4/Reln/Atp1a2/Scn3a/Dbi/Calm2/Gnb5/Azin1/Cd63/Vamp2/Calm1/Ank3/Tspan13/Mef2c/S100a1/Grm5/Kcnd2/Atp1b1/Atp1b2/Arl6ip1/Pea15a/Cacng3/Arc/Rasgrf2/Agt/Dpp6/Wnk4/Rgs2/Nppa/Bin1/Igf1/Kcnj16/Neto1/Ptk2b/Hpca/Kcnip1/Kcna4/Cacnb3/Dpp10/Atp2b4/Amigo1/Kcnb2/Tpcn1/Htr3a/Stom/Gal,81
GO:0005887,CC,GO:0005887,integral component of plasma membrane,105/797,474/8436,1.06638012220629e-17,3.25434122000368e-15,2.28396832366041e-15,Epha4/Slc6a9/Slc1a2/Fxyd6/Kirrel3/Ret/Dlg3/Caly/Kcnh3/Jam2/Aqp4/Kcna2/Snap25/Cav1/Dlg4/Scn1b/Slc1a1/Epha5/Tspan3/Ntrk2/Kcnmb4/Cd81/Atp2b2/Cntfr/Gria1/Gria2/Plp1/Olfm1/Atp1a1/Tyro3/Slc38a3/Slc6a1/Kcnb1/Slc20a1/Atp2b1/Kcnj10/Abca1/Slc24a2/Cspg5/Slc8a1/Grin2c/Shisa9/Bsg/Shisa6/Slc1a3/Slc6a7/Axl/Slc22a17/Gabra1/Slc6a11/Atp1a2/Adam23/Scn3a/Gabrb3/Calm2/Cd63/Calm1/Tenm3/Tspan13/Pcdh15/Cacna1g/Cadm3/Slc4a4/Grm5/Gria3/Kcnd2/Atp1b1/Grm1/Atp1b2/Grin1/Cdhr1/Cacng3/Ptpro/Ptprd/Pcdh8/Cd82/Dpp6/Fcer1g/Pmp22/Epha10/Chrm1/Icam5/Slc6a13/Plxnd1/Neto1/Gabra5/Ptk2b/Kcnip1/Kcna4/Zdhhc2/Gjb2/Dpp10/Atp2b4/Amigo1/Kcnb2/Vwc2/Htr3a/Fcgr2b/Tspan15/Aqp1/Itga7/Itpr3/Lpar1/Stom/Grin3a,105
GO:0005615,CC,GO:0005615,extracellular space,90/797,383/8436,5.95043459790247e-17,1.71504748299545e-14,1.20365808620729e-14,Cx3cl1/Ahnak/Ptprz1/C1qa/Vtn/Chgb/Tpt1/S100a16/Ptgds/Sparcl1/Bgn/Timp3/Ctsd/Pcsk1n/Igfbp7/Cd81/Cntfr/Lamp2/Olfm1/Ddt/Cpe/Lcat/Car2/Cst3/Aldoa/Cck/Vegfb/Serpine2/Wnt6/Serpinf1/Prss23/Chga/B2m/Igfbp2/Spock3/Axl/Apoe/Reln/S100b/S100a10/Nampt/Sez6/Sparc/H2-D1/Dbi/Cd63/Cmtm5/Serpini1/Ctsb/Scg2/Pcdh15/Ppia/Apod/Tcn2/Hexb/C1qtnf4/Ybx1/Frzb/Itm2b/Islr/Igfbp5/Npc2/Serpina3n/Agt/Gsn/Bcan/Npy/Nppa/Snx18/Fmod/Serpinh1/Igfbp4/Bmp7/Metrn/Igf1/Dcn/Mgp/Ptn/C1qc/Lrp8/Igfbp6/Lgals3bp/Vwc2/Smpdl3a/Ctsh/Aebp1/Anxa5/Aqp1/Gal/Col16a1,90
GO:0007610,BP,GO:0007610,behavior,95/797,420/8436,1.09227171609701e-16,2.98247666479541e-14,2.09316779278646e-14,Epha4/Slc1a2/Cacnb4/Gja1/Ptprz1/Kirrel3/Negr1/Pgrmc1/Abl2/Meis1/Plcb1/Ptgds/Ncam1/Kcna2/Snap25/Dlg4/Slc1a1/Prkca/Kalrn/Ndrg4/Fgf13/Prkce/Ntrk2/Atp2b2/Cntfr/Gria1/Usp2/Mapk10/Tacr1/Meis2/Slc6a1/Myo5a/Egr1/Trh/Zfp385a/Amph/Kcnj10/Gad1/Slc24a2/Cck/Rcan2/Serpinf1/Nptn/Slc1a3/B2m/Ccnd2/Apoe/Vwa1/Reln/Penk/Atp1a2/S100b/Zdhhc8/Sez6/Gabrb3/Id2/Dbi/Pja2/Cpt1a/Pak1/Ppp3cb/Lgmn/Slc17a7/Pcdh15/Mef2c/Grm5/Kcnd2/Gatm/Grm1/Hexb/Atp1b2/Aldh2/Grin1/Arc/Th/Agt/Npy/Pmp22/Slc7a11/Igf1/Ptn/Neto1/Gabra5/Synpo/Nrxn3/Myh14/Mdk/Slitrk5/Npy1r/Tbr1/Itpr3/Gal/Chl1/Pde5a/Calb1,95
GO:0050806,BP,GO:0050806,positive regulation of synaptic transmission,45/797,122/8436,1.17265253359126e-16,3.04186067213572e-14,2.13484479668008e-14,Epha4/Ptk2/Glul/Ppp1r9a/Snap25/Dlg4/Kif5b/Slc1a1/Kalrn/Syt1/Stxbp1/Prkce/Ntrk2/Gria1/Gria2/Tacr1/Mpp2/Car2/Slc24a2/Calb2/Serpine2/Grin2c/Nptn/Slc1a3/Apoe/Reln/S100b/Rab3a/Dbi/Pak1/Camk2b/Vamp2/Lgmn/Mapk1/Cacng3/Arc/Nrgn/Rasgrf2/Fam107a/Ptn/Ptk2b/Zdhhc2/Sphk1/Itpr3/Calb1,45
